annee;diplome;numero_de_l_etablissement;etablissement;etablissementactuel;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc;id_paysage
2015;MASTER LMD;0101060Y;Université de technologie de Troyes;;A19;Reims;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;Université ayant participé à  l'enquÃªte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;;;;;;;40;8.6;1800;;;;1430;2120;Université de technologie de Troyes_18;disc14_18;8tVLr
2015;MASTER LMD;0101060Y;Université de technologie de Troyes;;A19;Reims;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;Université ayant participé à  l'enquÃªte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;6;40;;;;;;;;40;8.6;1800;;;;1430;2120;Université de technologie de Troyes_30;disc15_30;8tVLr
2015;MASTER ENS;0134009M;Aix-Marseille;;A02;Aix-Marseille;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;272;67;100;96;93;88;93;1800;28100;25;10.3;1830;88;30;76;1410;2200;Aix-Marseille_30;disc18_30;xJdyB
2015;MASTER LMD;0134009M;Aix-Marseille;;A02;Aix-Marseille;DEG;Droit, Économie et gestion;disc02;Droit;18 mois après le diplôme;;229;69;17;89;81;60;93;1840;28700;31;10.3;1830;52;54;65;1410;2200;Aix-Marseille_18;disc02_18;xJdyB
2015;MASTER LMD;0134009M;Aix-Marseille;;A02;Aix-Marseille;DEG;Droit, Économie et gestion;disc05;Autres formations juridiques, Économiques et de gestion;30 mois après le diplôme;;31;73;2;84;ns;ns;ns;ns;ns;31;10.3;1830;ns;ns;71;1410;2200;Aix-Marseille_30;disc05_30;xJdyB
2015;MASTER LMD;0134009M;Aix-Marseille;;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;403;74;28;83;91;68;96;1910;29800;31;10.3;1830;70;45;45;1410;2200;Aix-Marseille_18;disc12_18;xJdyB
2015;MASTER LMD;0134009M;Aix-Marseille;;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;103;78;7;93;93;78;95;1840;28700;31;10.3;1830;66;45;59;1410;2200;Aix-Marseille_30;disc17_30;xJdyB
2015;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;DEG;Droit, Économie et gestion;disc04;Gestion;30 mois après le diplôme;;177;71;34;98;79;83;98;1980;30800;30;8.9;1810;47;53;63;1470;2160;Caen Normandie_30;disc04_30;p25Q3
2015;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;30;79;5;61;ns;ns;ns;ns;ns;30;8.9;1810;ns;ns;46;1470;2160;Caen Normandie_18;disc08_18;p25Q3
2015;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;49;80;9;83;88;88;98;1850;28800;30;8.9;1810;75;61;20;1470;2160;Caen Normandie_18;disc16_18;p25Q3
